Weapon,CrimeId
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",869510
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",780082
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",826779
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",900015
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",194152
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",132477
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",469013
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",596637
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",468558
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",354663
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",235860
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",556444
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",791350
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",255554
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",619624
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",861594
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",681344
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",281812
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",139329
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",969945
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",817973
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",679003
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",929773
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",219860
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",775337
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",864588
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",515287
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",875363
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",728339
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",104311
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",631803
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",471727
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",334575
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",512451
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",680731
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",680121
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",811781
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",835565
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",961363
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",804513
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",384202
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",137387
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",251740
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",866877
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",147842
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",222248
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",712805
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",827623
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",529905
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",901220
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",273269
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",581654
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",979957
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",257905
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",544716
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",764651
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",699265
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",851472
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",825240
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",476217
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",976004
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",462029
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",94444
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",330283
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",110616
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",452095
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",517181
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",979710
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",882352
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",616465
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",182227
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",81487
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",216005
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",656572
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",467986
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",922976
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",140220
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",153579
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",21427
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",428478
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",89209
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",502365
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",963518
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",505476
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",187299
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",373396
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",293306
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",351640
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",139038
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",188843
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",678745
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",444824
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",971914
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",650423
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",71551
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",100183
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",494453
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",648028
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",549980
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",897781
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",878733
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",237791
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",629549
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",451777
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",764707
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",641531
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",980498
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",775177
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",838252
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",254178
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",245854
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",665621
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",624868
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",47161
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",941103
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",358500
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",350716
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",356800
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",526466
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",255632
