CrimeId,Name
313476,77th Street
91316,77th Street
308516,77th Street
704164,77th Street
86601,77th Street
376623,77th Street
976795,77th Street
894898,77th Street
487905,77th Street
975054,77th Street
463165,77th Street
507361,77th Street
947722,77th Street
791915,77th Street
193738,77th Street
522166,77th Street
639440,77th Street
733869,77th Street
115467,77th Street
299345,77th Street
653244,77th Street
608139,77th Street
47022,77th Street
966800,77th Street
33880,77th Street
80367,77th Street
685182,77th Street
807917,77th Street
618625,77th Street
169241,77th Street
518982,77th Street
771835,77th Street
838303,77th Street
413247,77th Street
888094,77th Street
594533,77th Street
551599,77th Street
621954,77th Street
1575,77th Street
59293,77th Street
969138,77th Street
852125,77th Street
234972,77th Street
206552,77th Street
936663,77th Street
292375,77th Street
881896,77th Street
841135,77th Street
810259,77th Street
844403,77th Street
857826,77th Street
359461,77th Street
664507,77th Street
17190,77th Street
601192,77th Street
620682,77th Street
716866,77th Street
319545,77th Street
528642,77th Street
56770,77th Street
663732,77th Street
752241,77th Street
767956,77th Street
565104,77th Street
616510,77th Street
24804,77th Street
903514,77th Street
871296,77th Street
632577,77th Street
676538,77th Street
14113,77th Street
473154,77th Street
234594,77th Street
322509,77th Street
967940,77th Street
506247,77th Street
740106,77th Street
509871,77th Street
784266,77th Street
35446,77th Street
303992,77th Street
852664,77th Street
545295,77th Street
878775,77th Street
515217,77th Street
303342,77th Street
114927,77th Street
899527,77th Street
460638,77th Street
332612,77th Street
168744,77th Street
719588,77th Street
823366,77th Street
757588,77th Street
437187,77th Street
106977,77th Street
390273,77th Street
208584,77th Street
55453,77th Street
886661,77th Street
426141,77th Street
2061,77th Street
285870,77th Street
683316,77th Street
446039,77th Street
698331,77th Street
143834,77th Street
227475,77th Street
409315,77th Street
4936,77th Street
221320,77th Street
717046,77th Street
567910,77th Street
426403,77th Street
975312,77th Street
624931,77th Street
928686,77th Street
724724,77th Street
357567,77th Street
281106,77th Street
212238,77th Street
562045,77th Street
686867,77th Street
46501,77th Street
589851,77th Street
458872,77th Street
116196,77th Street
149041,77th Street
457687,77th Street
87346,77th Street
485136,77th Street
629719,77th Street
439474,77th Street
516617,77th Street
430018,77th Street
979815,77th Street
798352,77th Street
356957,77th Street
964815,77th Street
911523,77th Street
663046,77th Street
464149,77th Street
507067,77th Street
883586,77th Street
924463,77th Street
229862,77th Street
56380,77th Street
575193,77th Street
624918,77th Street
909584,77th Street
388811,77th Street
106131,77th Street
880430,77th Street
422347,77th Street
893788,77th Street
925243,77th Street
649159,77th Street
920747,77th Street
875750,77th Street
65105,77th Street
187988,77th Street
611570,77th Street
965407,77th Street
