VictimId,Age,Gender,Ethnicity
562553,0,X,Unknown
553476,37,F,Hispanic
816408,0,X,Unknown
35842,4,F,White
82792,57,M,White
90088,0,X,Unknown
700550,0,X,Unknown
764215,64,F,Hispanic
301832,0,M,White
601698,3,F,White
68966,59,M,Black
913794,25,M,Black
483753,51,M,Hispanic
420078,52,F,Hispanic
780235,0,X,Unknown
12399,46,M,Hispanic
322997,33,M,Hispanic
926931,16,M,Hispanic
854264,22,X,Unknown
263018,52,M,Black
743735,0,X,Unknown
415802,26,F,Hispanic
732367,58,M,White
501429,0,X,Unknown
449712,74,F,White
864732,0,X,Unknown
457509,52,F,Black
607039,27,F,White
807564,0,X,Unknown
667446,32,M,White
769677,47,F,Other
799427,0,X,Unknown
126630,25,F,White
921318,21,F,Hispanic
437122,0,M,Other
536551,39,F,Black
250765,0,X,Unknown
812627,57,F,White
380069,53,F,White
697365,0,M,Hispanic
341310,26,F,Asian
118177,41,F,Hispanic
237843,29,F,White
429611,64,F,White
570149,56,F,White
637066,34,F,Hispanic
628109,33,F,Black
14653,5,F,Hispanic
231431,39,M,Black
783512,64,M,Other
365491,24,F,Asian
179567,0,X,Unknown
534518,64,M,Black
682454,3,M,Other
187796,23,M,Hispanic
385809,38,M,Black
160191,51,M,Hispanic
928875,23,X,Unknown
932724,24,F,Other
931054,0,X,Unknown
109779,57,M,Black
509478,21,F,Other
820707,0,X,Unknown
348061,54,F,Hispanic
809351,0,X,Unknown
556412,3,F,Other
385381,12,F,Hispanic
377401,29,M,Hispanic
805091,29,F,White
617822,0,X,Unknown
436249,43,M,Black
201209,48,M,Pacific Islander
488333,26,M,Black
213064,0,X,Unknown
893721,0,X,Unknown
925261,27,F,Asian
524362,29,F,Hispanic
440517,0,X,Unknown
678839,41,F,White
96014,4,M,White
157562,83,M,Other
773299,19,M,White
107106,5,F,Hispanic
543085,0,X,Unknown
943070,43,M,Hispanic
689404,25,F,Hispanic
745118,65,M,White
245602,0,X,Unknown
346959,0,X,Unknown
330977,38,M,White
723815,26,M,Black
788245,31,F,Hispanic
529980,0,X,Unknown
443431,2,M,Hispanic
513094,54,F,Hispanic
284126,3,F,White
924420,0,X,Unknown
465159,0,X,Unknown
494478,3,F,Hispanic
874614,58,M,Hispanic
626109,45,M,Hispanic
749925,0,X,Unknown
535718,68,F,Hispanic
468570,55,F,Hispanic
664720,42,M,White
800598,28,F,Asian
535412,61,F,White
65774,2,F,Hispanic
834067,54,M,American Indian/Alaskan Native
360599,24,F,White
885320,0,X,Unknown
657688,29,F,White
893422,22,F,Other
278620,46,M,White
807709,35,M,White
546753,55,F,Hispanic
575086,28,M,Hispanic
418842,3,M,Black
897941,18,F,Hispanic
636681,31,F,Black
187463,42,F,Hispanic
466381,25,F,Black
945634,0,X,Unknown
203883,35,F,Black
640330,54,M,Hispanic
909417,3,M,White
153523,0,X,Unknown
180270,2,M,Hispanic
