CrimeId,Type,Subtype
695473,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
159040,BURGLARY,BURGLARY
750924,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
435430,BURGLARY,BURGLARY FROM VEHICLE
944579,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
61246,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
724517,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
884538,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
445765,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
470729,SEXUAL CRIME,"RAPE, FORCIBLE"
330996,VEHICLE STOLEN,VEHICLE - STOLEN
231249,BRANDISH WEAPON,BRANDISH WEAPON
397449,VIOLATION OF RESTRAINING ORDER,VIOLATION OF COURT ORDER
75777,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
65685,BURGLARY,BURGLARY
694269,BURGLARY,BURGLARY FROM VEHICLE
542916,ROBBERY,ROBBERY
354615,ROBBERY,ROBBERY
734679,VEHICLE STOLEN,VEHICLE - STOLEN
34599,VEHICLE STOLEN,VEHICLE - STOLEN
363797,THEFT,THEFT OF IDENTITY
248535,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
599780,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
649856,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
309297,ASSAULT,BATTERY - SIMPLE ASSAULT
828947,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
361974,FIREARMS SHOTS,SHOTS FIRED AT INHABITED DWELLING
386135,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
58933,EXTORTION,EXTORTION
683795,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
886806,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
979554,VEHICLE STOLEN,VEHICLE - ATTEMPT STOLEN
942911,VEHICLE STOLEN,VEHICLE - STOLEN
606578,BURGLARY,BURGLARY FROM VEHICLE
861956,BURGLARY,BURGLARY
407501,THEFT,THEFT OF IDENTITY
555338,BURGLARY,BURGLARY FROM VEHICLE
717624,ASSAULT,BATTERY - SIMPLE ASSAULT
529252,ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
710264,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
931100,THEFT,"BUNCO, GRAND THEFT"
532648,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
591822,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
765482,BURGLARY,BURGLARY FROM VEHICLE
5309,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
520267,THEFT,THEFT OF IDENTITY
11951,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
435489,THEFT,THEFT OF IDENTITY
592145,ROBBERY,ROBBERY
485386,ROBBERY,ROBBERY
537043,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
327829,VEHICLE STOLEN,VEHICLE - STOLEN
498627,BURGLARY,BURGLARY
386597,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
321480,VEHICLE STOLEN,VEHICLE - STOLEN
543031,DRIVING CRIME,FAILURE TO YIELD
612028,ARSON,ARSON
962924,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
35585,SEXUAL CRIME,ORAL COPULATION
133559,THEFT,THEFT OF IDENTITY
196368,ROBBERY,ROBBERY
761481,BURGLARY,BURGLARY
593350,CONTEMPT OF COURT,CONTEMPT OF COURT
144785,ASSAULT,BATTERY - SIMPLE ASSAULT
454373,VEHICLE STOLEN,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
380156,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
583778,VEHICLE STOLEN,BIKE - STOLEN
179205,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
643155,BURGLARY,BURGLARY FROM VEHICLE
512061,BURGLARY,BURGLARY FROM VEHICLE
222629,BURGLARY,BURGLARY
159394,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
797343,THEFT,THEFT OF IDENTITY
760270,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
374176,BURGLARY,BURGLARY
795191,VEHICLE STOLEN,VEHICLE - STOLEN
344962,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
866427,ASSAULT,BATTERY - SIMPLE ASSAULT
689773,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
414733,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
965428,ASSAULT,BATTERY - SIMPLE ASSAULT
5016,VEHICLE STOLEN,BIKE - STOLEN
448368,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
935333,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
280923,SEXUAL CRIME,BATTERY WITH SEXUAL CONTACT
715228,BURGLARY,BURGLARY FROM VEHICLE
679318,BURGLARY,BURGLARY
830135,THEFT,THEFT OF IDENTITY
814106,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
804391,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
115908,THEFT,THEFT OF IDENTITY
37412,ROBBERY,ATTEMPTED ROBBERY
352588,VEHICLE STOLEN,VEHICLE - STOLEN
291004,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
666723,THEFT,THEFT OF IDENTITY
228781,VEHICLE STOLEN,VEHICLE - STOLEN
875694,BURGLARY,BURGLARY
639849,ASSAULT,BATTERY - SIMPLE ASSAULT
515574,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
883557,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
680182,ASSAULT,BATTERY - SIMPLE ASSAULT
546143,ASSAULT,BATTERY - SIMPLE ASSAULT
480553,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
757561,VEHICLE STOLEN,VEHICLE - STOLEN
223340,ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
44499,VEHICLE STOLEN,VEHICLE - STOLEN
438006,ROBBERY,ROBBERY
620705,ROBBERY,ROBBERY
542655,VEHICLE STOLEN,VEHICLE - STOLEN
596126,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
882856,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
841079,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
318505,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
270064,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
467399,BURGLARY,"BURGLARY, ATTEMPTED"
162886,THEFT,THEFT OF IDENTITY
529003,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
367923,SEXUAL CRIME,OTHER MISCELLANEOUS CRIME
281909,ASSAULT,BATTERY - SIMPLE ASSAULT
928454,ROBBERY,ROBBERY
171786,VEHICLE STOLEN,BIKE - STOLEN
594414,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
931439,BURGLARY,BURGLARY FROM VEHICLE
909436,VEHICLE STOLEN,VEHICLE - STOLEN
255058,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
690144,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
646750,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
225514,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
786644,BRANDISH WEAPON,BRANDISH WEAPON
72332,ROBBERY,ROBBERY
325606,BURGLARY,BURGLARY
601603,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
244319,VEHICLE STOLEN,VEHICLE - ATTEMPT STOLEN
693003,ASSAULT,OTHER ASSAULT
509674,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
913555,ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
435758,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
579482,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
792632,BURGLARY,BURGLARY
221242,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
568514,FIREARMS SHOTS,SHOTS FIRED AT INHABITED DWELLING
216190,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
234099,VEHICLE STOLEN,VEHICLE - STOLEN
890470,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
955708,THEFT,"BUNCO, GRAND THEFT"
73017,FRAUD,"BUNCO, PETTY THEFT"
444231,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
384382,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
43313,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
364748,BURGLARY,BURGLARY FROM VEHICLE
