CrimeId,StreetId,DateTime
871872,20900 GRESHAM ST,2023-06-12T17:50:00Z
364449,700 S FLOWER ST,2021-02-06T15:00:00Z
136032,700 S FLOWER ST,2020-06-15T17:10:00Z
73558,700 S FLOWER ST,2020-02-12T08:30:00Z
150157,700 S FLOWER ST,2020-01-02T21:20:00Z
575862,700 S FLOWER ST,2022-12-01T21:00:00Z
472108,700 S FLOWER ST,2022-03-18T20:32:00Z
926747,700 S FLOWER ST,2024-01-02T22:00:00Z
840697,700 S FLOWER ST,2023-06-28T23:59:00Z
693981,700 S FLOWER ST,2023-06-22T18:01:00Z
836213,700 S FLOWER ST,2023-07-10T16:10:00Z
4410,700 S FLOWER ST,2020-02-25T13:00:00Z
212424,700 S FLOWER ST,2021-10-25T09:50:00Z
150177,700 S FLOWER ST,2020-01-24T18:00:00Z
49387,700 S FLOWER ST,2020-02-29T11:02:00Z
825269,CUMPSTON,2023-01-12T22:35:00Z
908425,CUMPSTON,2024-03-11T16:00:00Z
56039,CUMPSTON,2020-03-29T06:30:00Z
820045,3400 S CENTRAL AV,2023-06-01T12:15:00Z
201689,3400 S CENTRAL AV,2021-06-14T14:08:00Z
15206,3400 S CENTRAL AV,2020-03-03T12:00:00Z
591202,3400 S CENTRAL AV,2022-08-03T12:00:00Z
696819,3400 S CENTRAL AV,2023-05-08T16:00:00Z
338721,3400 S CENTRAL AV,2021-12-03T12:00:00Z
618260,3400 S CENTRAL AV,2022-11-07T12:00:00Z
971559,13200 FILMORE ST,2022-02-16T20:00:00Z
568635,13200 FILMORE ST,2022-02-20T17:50:00Z
59565,15000 W NORTHWIND LN,2020-11-06T17:40:00Z
966008,3000 8TH AV,2020-09-22T11:40:00Z
195209,3000 8TH AV,2020-03-08T15:00:00Z
898153,6700 N FIGUEROA ST,2024-06-30T17:10:00Z
293844,7200 FRANKLIN AV,2021-06-26T14:50:00Z
95356,7200 FRANKLIN AV,2020-10-20T23:30:00Z
477432,7200 FRANKLIN AV,2022-05-22T00:01:00Z
377923,7200 FRANKLIN AV,2021-04-13T15:15:00Z
106856,7200 FRANKLIN AV,2020-10-10T00:40:00Z
148854,7200 FRANKLIN AV,2020-12-20T12:30:00Z
195382,7200 FRANKLIN AV,2020-12-01T12:00:00Z
128540,7200 FRANKLIN AV,2020-05-18T18:30:00Z
796463,12600 SAN FERNANDO RD,2023-04-21T19:30:00Z
608405,12600 SAN FERNANDO RD,2022-01-26T01:00:00Z
498406,12600 SAN FERNANDO RD,2022-02-18T20:00:00Z
592568,12600 SAN FERNANDO RD,2022-07-12T01:30:00Z
764135,12600 SAN FERNANDO RD,2023-09-11T08:00:00Z
185611,1500 NIETO LN,2020-03-16T18:30:00Z
409336,1500 NIETO LN,2021-07-18T08:15:00Z
232435,4600 ST CHARLES PL,2021-12-24T23:00:00Z
14406,3700 SUTRO AV,2020-11-20T19:35:00Z
294883,100 W MARTIN LUTHER KING BL,2021-07-08T19:00:00Z
592884,4700 NATICK AV,2022-05-01T11:15:00Z
223340,4700 NATICK AV,2021-11-13T00:35:00Z
515065,4700 NATICK AV,2022-08-30T12:00:00Z
160983,4700 NATICK AV,2020-08-06T19:00:00Z
552885,4700 NATICK AV,2022-11-14T04:00:00Z
604248,4700 NATICK AV,2022-06-29T07:00:00Z
580879,4700 NATICK AV,2022-05-04T17:00:00Z
234939,4100 W SLAUSON AV,2021-02-17T20:30:00Z
213144,4100 W SLAUSON AV,2021-07-08T20:45:00Z
255598,4100 W SLAUSON AV,2021-08-25T15:00:00Z
694109,3900 SENECA AV,2023-09-04T18:35:00Z
